Insulin-like peptide receptor,K05087 
DNA-binding transcriptional activator DecR,nan
Putative NAD(P)-binding protein YbjT,K01893
Probable formate transporter,nan
Serine protease VLSP-1,K01319
Laccase-18,K00423
Complement factor H,K04012
Ephrin type-B receptor 1,K05110
AP-1-like transcription factor,nan
Lysine-specific demethylase 5C,K11446
SCAN domain-containing protein 3,K04515
Putative uncharacterized protein,K08252
Glycosyltransferase TibC,nan
Benzaldehyde dehydrogenase YfmT,nan
F-box only protein 6,nan
Putative uncharacterized protein,K16599
Fl(2)d-associated complex component,K22909
Hepatoma-derived growth factor-related protein 3,K16641
Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA,K05644
Zinc-binding alcohol dehydrogenase domain-containing protein cipB,nan
ATP-dependent DNA helicase PIF6,K15255
Probable 2-dehydro-3-deoxy-D-pentonate aldolase YjhH,nan
Putative uncharacterized protein,K10336
Uncharacterized protein YeaR,nan
Snake venom serine proteinase 2,K09640
Electron transport regulator A,nan
Beta-ketothiolase BktB,K00626
Retinal-specific phospholipid-transporting ATPase ABCA4,K05647
Cystathionine beta-lyase,K00315
Putative uncharacterized protein,K14686
Glycosyltransferase-like domain-containing protein 1,nan
Cancer-related nucleoside-triphosphatase homolog,K06928
Serine protease inhibitor 77Ba,K03911
Chymotrypsin-2,K01312
Homeobox protein NANOG,K09317
Golgi resident protein GCP60,K23935
Nucleoside diphosphate-linked moiety X motif 19,K13355
Mitosis initiation protein fs(1)Ya,nan
SET and MYND domain-containing protein 4,K11426
Glucosamine-6-phosphate deaminase,nan
THAP domain-containing protein 1,K23203
Ubiquitin-conjugating enzyme E2 C,K06688
Hippurate hydrolase,nan
Multiple C2 and transmembrane domain-containing protein,nan
Transcription elongation factor spt6,nan
Probable cytochrome P450 4s3,K15001
Putative uncharacterized protein ORF5 in retron EC67,nan
"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1",K20230
Sperm flagellar protein 1,K11162
Uncharacterized protein YjiH,nan
Phosphoglycerol transferase I,nan
ABC transporter B family member 27,K05657
"Ferritin, mitochondrial",K00522
Mitochondrial tRNA methylthiotransferase CDK5RAP1,K15865
Aldehyde-alcohol dehydrogenase,K13954
Cuticle protein 14 isoform a,nan
Cyclic AMP-responsive element-binding protein 3-like protein 3-A,K09048
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",K03942
Uncharacterized protein ZK1073.1,K18266
Putative oligopeptide transporter YGL114W,nan
Probable phosphoenolpyruvate synthase,K01322
Ethanolamine ammonia-lyase light chain,nan
Putative uncharacterized protein,K13101
RNA 5'-monophosphate methyltransferase,K23308
Dual specificity protein kinase Ttk,K08866
Endoplasmic reticulum junction formation protein lunapark-A,K23292
RNA-binding protein Musashi homolog 1,K14411
Probable translation initiation factor eIF-2B subunit beta,K19041
Dye-decolorizing peroxidase YfeX,nan
6-phospho-beta-glucosidase BglA,K01229
General transcription factor 3C polypeptide 1,K15199
Hemolymph lipopolysaccharide-binding protein,K17520
UPF0210 protein Ccon26_06850,nan
BTB/POZ and MATH domain-containing protein 6,K10523
Obg-like ATPase 1,K19788
"Cytochrome b2, mitochondrial",K10226
Aliphatic sulfonates import ATP-binding protein SsuB 1,K05680
RNA polymerase II transcription factor B subunit 3,K10842
Pancreatic triacylglycerol lipase (Fragment),K04974
Serine protease 30,K09640
Probable butyrate kinase,nan
Irregular chiasm C-roughest protein,K06767
GTP-binding protein rho3,K04392
Actin-1,K12314
Microsomal triglyceride transfer protein,K14463
Oxidoreductase AFT12-1,nan
Transmembrane protease serine 9,K01323
Glutamine-dependent NAD(+) synthetase,K01950
Uncharacterized protein ZMO1242,K23439
Transposon Tf2-12 polyprotein,K11224
Cell shape-determining protein MreB,nan
Putative uncharacterized protein,K14408
Putative polypeptide N-acetylgalactosaminyltransferase 10,K00710
Putative uncharacterized protein,K14827
Transcription-repair-coupling factor,K19466
Trypsin-1,K08664
"Malate synthase, glyoxysomal",K01638
Zwei Ig domain protein zig-8,K06773
Lipase member H-A,K14074
Methylmalonyl-CoA mutase small subunit,nan
Multidrug efflux pump subunit AcrB,K15725
Peroxiredoxin Bcp,K03386
UPF0759 protein YecE,nan
Putative uncharacterized protein,K11422
Glia maturation factor beta,K20368
Putative 115 kDa protein in type-1 retrotransposable element R1DM,K05673
Putative uncharacterized protein,K15186
Probable aminotransferase gliI,K00815
"54S ribosomal protein L9, mitochondrial",K02906
DNA repair protein RadA,K01338
Multicopper oxidase abr1,nan
Uncharacterized protein C1683.06c,K01239
Fructose-bisphosphate aldolase class 2,K01624
Peptide deformylase 1,K01462
Protein vts1,nan
Epsin-2,K12471
Transcriptional regulator CRZ1,K23195
Cullin-3,K03869
U-scoloptoxin(01)-Cw1a,K10645
Probable D-serine dehydratase,nan
Putative acyl-CoA dehydrogenase AidB,K00253
Peptidoglycan-recognition protein LF,K24077
Protein GDAP2 homolog,K18449
Protein rogdi,K17925
Podocan,K23533
ATP-binding cassette sub-family A member 2,K05643
Uncharacterized protein K02A2.6,K18405
Acetoin utilization protein AcuB,K07200
MFS-type transporter oryC,K08139
"Probable mannosyl-oligosaccharide alpha-1,2-mannosidase ARB_00035",K23741
Protein translocase subunit SecA,K01948
Putative uncharacterized protein,K14027
Delta-sarcoglycan,K12563
Actin-interacting protein 1,K11374
Probable transcriptional regulatory protein PP_1214,nan
Uncharacterized protein C31G5.21,K13120
Laccase-5,K00423
Laccase-3,K05909
E3 ubiquitin-protein ligase RNF167,K15692
ATP-dependent DNA helicase UvrD1,K03657
Phosphatidylinositol transfer protein alpha isoform,K24069
Uncharacterized RNA-binding protein C25G10.01,K12897
Chromosome segregation protein sudA,K06669
Mediator of RNA polymerase II transcription subunit 19,nan
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",K05861
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase 2, mitochondrial",K00905
Homeobox protein ceh-2,K09317
Endothelial differentiation-related factor 1 homolog,K13719
Transcription activator of gluconeogenesis acuK,nan
Trypsin-3,K01324
Bifunctional protein PaaZ,K00149
Aminopeptidase N,nan
Aspartate--tRNA(Asp/Asn) ligase,K22503
Retrovirus-related Pol polyprotein from transposon 297,K16506
Inner membrane protein YdcZ,nan
Tetraspanin-12,K17345
Ribose import ATP-binding protein RbsA 2,K05658
Putative uncharacterized protein,K11789
Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment),K04678
Uncharacterized oxidoreductase YcsN,K04883
Putative uncharacterized protein,K14689
Uncharacterized membrane protein YLR326W,nan
Enoyl-CoA hydratase ACTT3,nan
Histone deacetylase 1,K06067
Ubiquitin recognition factor in ER-associated degradation protein 1,K14016
Fatty acid amide hydrolase,K02433
Osmoprotective compounds uptake permease protein GgtD,nan
Uncharacterized protein F58A4.6,K01183
Interferon-related developmental regulator 1,K13855
Transcription factor SOX-21,K09267
Inner centromere protein-related protein pic1,nan
E3 ubiquitin-protein ligase znrf3,K11982
RNA-directed DNA polymerase from mobile element jockey,nan
Aldo-keto reductase family 4 member C8,K13981
H/ACA ribonucleoprotein complex subunit NHP2,K11129
40S ribosomal protein S15a,K02957
4'-phosphopantetheinyl transferase A,K06133
Putative uncharacterized protein,K22666
Uncharacterized protein YukJ,nan
Probable metallo-hydrolase BURPS1710b_2304,K17725
Exocyst complex component exo84,nan
Putative uncharacterized protein,K08444
General transcription factor 3C polypeptide 1,K21853
Purple acid phosphatase 3,K14379
Hemicentin-1,K06841
Retrovirus-related Pol polyprotein from transposon 17.6,K15115
Hematopoietically-expressed homeobox protein Hhex,K08024
Sugar transporter ERD6-like 17,K11854
Melanization protease 1,K20674
Carcinoembryonic antigen-related cell adhesion molecule 1,K06774
IQ domain-containing protein K,nan
Serine/threonine-protein kinase psk1,K04688
GTP-binding protein 2,K02519
Protein tyrosine phosphatase type IVA 1,K18041
Progesterone receptor,K08556
MFS transporter L2,nan
N-acylneuraminate cytidylyltransferase,K21749
Chymotrypsin BI,K01312
Cyclic nucleotide-gated cation channel beta-3,K04910
Chorion class CB protein M5H4,K23406
UPF0051 protein MT1508,nan
Uncharacterized oxidoreductase Mkms_1985,K00011
Probable RNA-directed DNA polymerase from transposon X-element,K11592
Kallikrein-7,K01312
Uncharacterized calcium-binding protein C800.10c,K20045
Cilia- and flagella-associated protein 45,K06584
Transcriptional repressor PaaX,nan
Histone H2B,K11251
Putative acetyltransferase C18B11.09c,nan
Probable N-succinyldiaminopimelate aminotransferase DapC,nan
Cytochrome P450 3A24,K07424
RNA-binding protein Hfq,nan
HEAT repeat-containing protein 5B,nan
Riboflavin biosynthesis protein RibD,nan
26S protease regulatory subunit 6A,K03065
Fer3-like protein,K22400
Retrovirus-related Pol polyprotein from transposon gypsy,K20478
UPF0187 protein mll4386,K08994
Short-chain dehydrogenase/reductase ARMGADRAFT_1018421,K10402
"Ornithine carbamoyltransferase, catabolic",K00611
Multiple C2 and transmembrane domain-containing protein,K20629
Putative uncharacterized protein,K02354
DC-STAMP domain-containing protein 2,K22375
Acetylcholine receptor subunit alpha-L1,K04807
Regulatory protein Spx 2,nan
Solute carrier family 22 member 15-like,K08200
Ribosomal protein arginine N-methyltransferase rmt3,K11436
Serine protease inhibitor 42Dd,K04525
Titin homolog,K12567
ATP-dependent RNA helicase DeaD,K14777
Serpin B7,K13966
Histone H2A.V (Fragment),K11251
Multiprotein-bridging factor 1,K03627
Exodeoxyribonuclease 7 large subunit,K11644
Inactive dipeptidyl peptidase 10,K01278
Formate dehydrogenase H,nan
Putative uncharacterized protein,K20220
Mitochondrial import inner membrane translocase subunit tim21,nan
Zinc carboxypeptidase (Fragment),K01298
Glucose-1-phosphate adenylyltransferase,K00966
Monocarboxylate transporter 4,K08183
PiggyBac transposable element-derived protein 5,K18464
MFS transporter M6,nan
Gastrulation defective protein 1 homolog,K10752
Serine/arginine-rich splicing factor 2,K12891
Actin cytoskeleton-regulatory complex protein pan1,K20045
UPF0761 membrane protein PsycPRwf_0630,nan
Ankyrin repeat and SAM domain-containing protein 1A,K21413
Suppressor of SWI4 1 homolog,K14859
Phosphatidylinositol mannoside acyltransferase,nan
Uncharacterized protein YibN,nan
Probable cytosol aminopeptidase,K04368
U-actitoxin-Avd3i,K23624
Putative uncharacterized protein,K12491
Patulin synthase,nan
Petrobactin-binding protein FpuA,nan
DnaJ homolog subfamily B member 6-A,K09512
Multiple C2 and transmembrane domain-containing protein,K08574
Acidic amino acid decarboxylase GADL1 (Fragment),K01594
Probable siderophore transport system ATP-binding protein YusV,nan
Phosphatidylinositol N-acetylglucosaminyltransferase subunit gpi15,K03858
Uncharacterized oxidoreductase PA3106,K23797
Protein NipSnap homolog 1,nan
Argonaute-binding protein 1,nan
CREB-regulated transcription coactivator 1,K15309
Histidine triad nucleotide-binding protein 1,K02503
Alkanesulfonate monooxygenase 1,nan
Bifunctional purine biosynthesis protein ATIC,K00602
Uncharacterized HTH-type transcriptional regulator YobQ,nan
Probable sulfate transport system permease protein cysT,K02046
Tudor domain-containing protein 1,K18407
Utrophin,K10366
Potassium voltage-gated channel subfamily H member 2,K04952
Unsaturated 3S-rhamnoglycuronyl hydrolase,nan
Velvet complex subunit B,nan
SCO-spondin,K04596
SERTA domain-containing protein 2,nan
Transposon Tf2-11 polyprotein,K09228
Aspergillopepsin-1,K01377
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",K07819
"Probable phospholipase C20G8.02, mitochondrial",K13619
"Isovaleryl-CoA dehydrogenase, mitochondrial",K00253
Putative outer membrane protein CC_0351,nan
"3'(2'),5'-bisphosphate nucleotidase CysQ",K01092
Malate dehydrogenase,K00025
Major myo-inositol transporter IolT,K08150
Ceramide synthase 1,K04710
Poly(A) ribonuclease pop2,K12581
WW domain-binding protein 4,K13220
Trehalose/maltose-binding protein MalE,nan
Dipeptidyl carboxypeptidase,K01414
"Solute carrier family 2, facilitated glucose transporter member 8",K08144
FAD-dependent monooxygenase DEP4,K00485
Carboxylesterase 1D,K07378
Putative urea carboxylase,K01968
Actin cytoskeleton-regulatory complex protein pan1,K12472
Uncharacterized protein YfdS,nan
TBC1 domain family member 13,K20360
Putative uncharacterized protein,K20161
Tyrosine-protein phosphatase non-receptor type 14,K01104
Calcium-transporting ATPase CtpE,K01379
Cuticle protein 3,nan
Protein bric-a-brac 2,K14677
Hypoxanthine-guanine phosphoribosyltransferase,K00760
L-amino-acid oxidase,nan
Poly(A) RNA polymerase GLD2-A,K18060
Neurensin-1,nan
Insulin gene enhancer protein ISL-2 (Fragment),K09370
FeS cluster assembly protein SufB,K01338
Serine/threonine-protein phosphatase PP2A-like PPG1,K15423
D(2) dopamine receptor A,K04157
Esterase FE4,K03927
Probable hydrolase YcaC,nan
Putative uncharacterized protein,K20174
Amidase chyE,K01953
Ribonuclease Oy,K01166
Rab3 GTPase-activating protein catalytic subunit (Fragments),K18270
60S ribosomal protein L37,K02922
Putative uncharacterized protein,K06839
Sugar transporter ERD6-like 1,K14258
Calsenilin,K23855
Retrovirus-related Pol polyprotein from transposon 17.6,K09662
Mu-like prophage FluMu defective tail fiber protein,nan
Seminal metalloprotease 1,K01395
Retrovirus-related Pol polyprotein from transposon 297,K05096
Protein 4.1 homolog,K23961
Long-chain-fatty-acid--AMP ligase FadD28,K01904
Transcriptional regulator FleQ,nan
Probable flavin-containing monoamine oxidase B,K12259
Oligopeptide transporter 1,nan
Riboflavin transporter MCH5,K08187
Ras-related protein Rab-30,K07893
Putative uncharacterized protein,K04883
Proteasome assembly chaperone 4,K11878
Trafficking protein particle complex subunit 12,K20309
Bifunctional protein GlmU,nan
Sarcosine oxidase subunit beta,K11540
Kunitz-type serine protease inhibitor BmKTT-2,K15619
Protein lethal(2)denticleless,K11790
Isocitrate dehydrogenase [NADP],K00030
Phospholipid-transporting ATPase IA,K14802
Putative uncharacterized protein,K07359
Methionine import ATP-binding protein MetN 3,K05644
NADPH dehydrogenase,nan
Putative uncharacterized protein,K20408
Myosin regulatory light chain 1,K12757
Putative uncharacterized protein,K22751
Dicarboxylic amino acid permease,K13868
Putative butyrophilin subfamily 2 member A3,K06534
Putative uncharacterized protein,K13514
Thromboxane-A synthase,K01832
Sphingomyelin synthase-related protein 1,K22697
Reticulon-1-B,K20721
Lactate utilization protein B,nan
Biofilm dispersion protein BdlA,nan
"3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic",K09458
Transmembrane protein KIAA1109,K08752
Zinc finger protein 518A,K22534
N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase,K11420
WD repeat-containing protein 47,K14558
Putative uncharacterized transketolase family protein y4mO,K00615
Transcription factor hamlet,K04462
UDP-glucuronosyltransferase 2A1,K04628
Protein TAPT1 homolog,K23404
Putative uncharacterized protein,K23214
Scavenger receptor class B member 1,K12384
L-Threonine dehydratase biosynthetic IlvA,K01754
Ribonuclease P protein subunit p20,K14527
Mitogen-activated protein kinase kinase kinase 13,K04422
Cytochrome P450 monooxygenase ATEG_03631,K07424
Carbonic anhydrase 13,K18245
Cytosolic Fe-S cluster assembly factor nubp1,K03593
Zinc finger protein rst2,K20210
Cytochrome P450 4X1,K15001
"3,4-dihydroxyphenylacetate 2,3-dioxygenase",nan
Ankyrin repeat domain-containing protein SOWAHB,nan
Glutamate receptor 3.1,nan
Josephin-like protein,K15235
Adhesion G protein-coupled receptor E1,K08465
Vesicle-associated membrane protein 722,K13504
Probable serine/threonine-protein kinase nek3,K08813
Protein transport protein Sec16A,K20353
Putative uncharacterized protein,K15040
FAD-dependent monooxygenase orf3,nan
Acetyl-S-ACP:malonate ACP transferase,K01966
Amino-acid permease BAT1,K13866
Protein mom-5,K02842
Cystathionine beta-lyase,nan
Versicolorin reductase 1,K10402
Putative uncharacterized protein,K20008
Glycine-rich protein GRP33,K14942
S1 RNA-binding domain-containing protein 1,K11292
Tubulin alpha-1C chain,K07374
Protein CEBPZOS,nan
Poly(A) RNA polymerase gld-2 homolog B,K18709
Microtubule-associated proteins 1A/1B light chain 3B,K10435
Roundabout homolog 3,K22656
"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",K13755
Large subunit GTPase 1,K14539
Ragulator complex protein LAMTOR3 homolog,K04370
Monocarboxylate transporter 9,K08186
Transcriptional activator protein Pur-alpha,K21772
Acylamidase,K02433
Inner membrane protein YohK,K06174
Chaoptin (Fragment),K05401
Putative uncharacterized ABC transporter ATP-binding protein YcjV,nan
Fe(3+)-citrate import system permease protein YfmD,nan
Tryptase-2,K09640
Coagulation factor X isoform 1,K20674
Cytosol aminopeptidase,K01255
"4-hydroxybenzoate polyprenyltransferase, mitochondrial",K06125
THAP domain-containing protein 1 A,K23206
Versiconal hemiacetal acetate reductase,K04882
Putative uncharacterized protein,K07378
"39S ribosomal protein L51, mitochondrial",K17432
Solute carrier organic anion transporter family member 4C1,K14353
Putative uncharacterized protein,K14396
Putative transport protein KPK_0013,nan
Lipopolysaccharide export system ATP-binding protein LptB,K05642
B-cell lymphoma 3 protein homolog,K00901
Tartrate dehydrogenase/decarboxylase,nan
Vegetative protein 296,K05660
"tRNA modification GTPase GTPBP3, mitochondrial",K03650
Vitamin K-dependent protein C,K09625
Optineurin,K19946
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",K00167
Nodulation protein T,K15725
Phenylalanine--tRNA ligase beta subunit,K18468
Lycopene elongase/hydratase,nan
"Cytochrome P450 315a1, mitochondrial",K17797
Cytochrome c biogenesis protein ResC,nan
Arrestin homolog,K13805
Muscleblind-like protein 3,K14943
Putative uncharacterized protein,K22381
Inhibitor of nuclear factor kappa-B kinase subunit alpha,K07209
Long-chain-fatty-acid--CoA ligase,nan
Carboxylesterase 4A,K01049
Uncharacterized lipoprotein Lmo0207,nan
Alcohol dehydrogenase,K14729
Translin-associated factor X-interacting protein 1,K00547
Oligopeptide transport system permease protein OppB,nan
50S ribosomal protein L10,K02864
Divalent metal cation transporter MntH,nan
V-type proton ATPase catalytic subunit A isoform 1,K02145
Putative methyltransferase Cher3,nan
Alpha-amylase B,K01176
Guanine nucleotide exchange factor subunit Rich,K20476
Neuroglobin,K21893
Adhesion G-protein coupled receptor G2,K08451
Gag-Pol polyprotein (Fragment),K23014
Mitochondrial tRNA methylthiotransferase CDK5RAP1,nan
Type I secretion system membrane fusion protein PrsE,nan
Chymotrypsin-like elastase family member 2A,K01346
Eukaryotic peptide chain release factor GTP-binding subunit,K03267
Aminopeptidase M1,K11141
PiggyBac transposable element-derived protein 4,K22611
"Bifunctional chrysanthemol synthase, chloroplastic",K00787
Transmembrane protein 138,K22867
Uncharacterized oxidoreductase F53C11.3,K13236
Homeobox protein caupolican,K13046
Kelch-like protein 3,K10443
Hemicentin-1,K05170
Glycine--tRNA ligase,K02333
Putative uncharacterized protein,K08838
Aminopeptidase C,K01372
3-hydroxyacyl-CoA dehydrogenase-like protein LAM1,nan
X-linked retinitis pigmentosa GTPase regulator-interacting protein 1,K13172
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",K13293
Somatostatin receptor type 1,K22872
Mitochondrial Rho GTPase 1,K07871
Retrotransposable element SLACS 132 kDa protein,K09228
Gag-Pol polyprotein,K07874
Putative uncharacterized protein,K09237
Uncharacterized protein MT0906,nan
Protein O-mannosyl-transferase TMTC2,K23424
Inner membrane protein YabI,nan
Uncharacterized protein YafS,nan
Visual system homeobox 1,K09336
GDP-6-deoxy-D-talose 4-dehydrogenase,K01710
"Oligoribonuclease, mitochondrial",K13288
Choline-phosphate cytidylyltransferase A,K00968
Calpain-8,K08585
Spectrin alpha chain,K06114
CAD protein,K11540
Putative uncharacterized protein,K15143
Uncharacterized protein YibN,K03676
Uncharacterized protein PA2218,nan
Sodium-dependent proline transporter,K05041
Charged multivesicular body protein 4c,K12194
Fibrillin-3,K23342
Histone deacetylase HDA1,K11407
Autoinducer 2 import ATP-binding protein LsrA,K05643
Proline/betaine transporter,K06069
Putative uncharacterized protein,K17578
Putative uncharacterized protein,K23962
Reducing polyketide synthase swnK,K00801
Choline-phosphate cytidylyltransferase B,K00968
Multiple sugar-binding periplasmic receptor ChvE,nan
O-acetyl-ADP-ribose deacetylase,K23518
Accessory gene regulator A,nan
Putative zinc finger protein B0310.2,K09228
Glycine betaine uptake system permease protein YehY,nan
Myotubularin-related protein 10-A,K18085
Cuticle protein 6,K00962
Zinc transporter ZIP1,K14709
RNA polymerase sigma factor HrpL,nan
Myb-like protein H,K11865
Acid-sensing ion channel 4-B,K03440
Protein rds1,nan
Chromatin-associated protein swi6,nan
Low-affinity inorganic phosphate transporter 1,K14640
Potassium voltage-gated channel protein Shaw,K04887
Short-chain dehydrogenase/reductase tropE,K11153
Transcriptional regulatory protein TcrA,nan
Fluconazole resistance protein 1,nan
Guanine nucleotide-binding protein subunit gamma-e,K04547
E3 ubiquitin-protein ligase DZIP3,K16273
(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase,K00289
Putative uncharacterized protein,K08267
Probable amino-acid permease PB1C11.02,nan
Aminoacylase-1,K14677
Transmembrane protein 245,K05727
Alanyl-tRNA editing protein Aarsd1-B,K07050
ATP-dependent DNA helicase mph1,nan
Putative uncharacterized protein,K17427
Deoxynucleotidyltransferase terminal-interacting protein 1,K08707
LHFPL tetraspan subfamily member 5 protein,K23893
Mediator of RNA polymerase II transcription subunit 13,nan
Twist-related protein,K09069
Krueppel-like factor 6,K09210
Cytochrome P450 3A41,K01832
Pyridoxine 5'-phosphate synthase,K00639
Probable serine/threonine-protein kinase mkcD,K08838
Uncharacterized protein YPL245W,nan
Short transient receptor potential channel 6,K04967
Probable metallo-hydrolase YqgX,K01069
Protein pns1,K02349
Zinc finger BED domain-containing protein 4,K22594
Mannosylglycoprotein endo-beta-mannosidase,K01192
Probable sugar isomerase R00627,nan
Larval cuticle protein LCP-30,nan
Amidophosphoribosyltransferase,K00764
Testis-expressed protein 10,K14827
Probable glutamine synthetase,K01915
X-linked retinitis pigmentosa GTPase regulator homolog,K15421
Trypsin-5,K09636
Probable rhizopine catabolism regulatory protein MocR,nan
TIMELESS-interacting protein,K01942
Uncharacterized protein in ribF 3'region (Fragment),K01239
Arginine/ornithine transport ATP-binding protein AotP,nan
Neuronal acetylcholine receptor subunit beta-4 (Fragment),K04803
ATP-dependent Clp protease ATP-binding subunit ClpE,K03695
Dopamine N-acetyltransferase,K09228
Leukemia inhibitory factor receptor,K19599
Sodium-dependent nutrient amino acid transporter 1,K05038
NudC domain-containing protein 1,nan
Multidrug resistance protein fnx1,K23677
Putative epidermal cell surface receptor,nan
Protein ste6,K12326
AT-rich interactive domain-containing protein 4A,K19194
Putative uncharacterized protein,K18733
Chitinase 3,K01183
Polypeptide N-acetylgalactosaminyltransferase-like 6,K00710
Nitric oxide synthase oxygenase,K13240
Putative serine/threonine-protein phosphatase C22H10.04,K01090
Protease 2,K01322
Putative uncharacterized protein,K15128
Uncharacterized protein YbaE,nan
DNA topoisomerase 3,nan
Protein transport protein sec73,K12494
Putative uncharacterized protein,K07972
Pro-Pol polyprotein,K19897
E3 ubiquitin-protein ligase dbl4,K11968
Flavin-dependent halogenase armH5,nan
C4-dicarboxylate TRAP transporter large permease protein DctM,nan
Putative uncharacterized protein,K01672
FMN-dependent NADH-azoreductase 2,nan
Protein adenylyltransferase VbhT,nan
Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO,nan
Probable RNA-directed DNA polymerase from transposon X-element,K24047
Ficolin-1,K05467
Chorion class B protein M3A5 (Fragment),nan
NPC intracellular cholesterol transporter 2 homolog a,K13443
General stress protein 39,K11147
Polysaccharide deacetylase domain-containing protein ECU11_0510,nan
LIM domain-binding protein 1-A,K24143
E3 ubiquitin-protein ligase Iruka,K11982
Plasminogen (Fragment),K09636
Endothelial transcription factor GATA-2,K17897
Putative uncharacterized protein,K10329
Fatty acyl-CoA synthetase A,K01897
Hippocalcin-like protein 4,K23855
Lipase 3,K14452
Zinc finger protein 516,K09191
Putative pyrophosphorylase ModD,nan
"3'(2'),5'-bisphosphate nucleotidase",K01092
Cilia- and flagella-associated protein 91,nan
Phytanoyl-CoA dioxygenase,K00477
Uncharacterized Na(+)/H(+) antiporter C15A10.06,K12041
Transmembrane channel-like protein 5,K21988
DNA-directed RNA polymerase III subunit rpc3,nan
Structural maintenance of chromosomes protein 4 (Fragment),K06675
Cysteine protease XCP1,K01374
Histone H4 transcription factor,K22402
E3 ubiquitin-protein ligase Itchy homolog,K05633
Putrescine transport ATP-binding protein PotG,nan
3-methylmercaptopropionyl-CoA dehydrogenase,K14300
Uncharacterized WD repeat-containing protein C9G1.05,nan
Putative metabolite transport protein HI_1104,K23677
Ubiquinone biosynthesis O-methyltransferase,nan
DENN domain-containing protein 5A,K20164
RNA-binding region-containing protein 3,K13157
Protein suppressor of hairy wing,K09228
Protein DJ-1alpha,K05687
O-antigen export system ATP-binding protein RfbB,K05651
DNA replication protein DnaC,K18529
Pupal cuticle protein Edg-84A,nan
Monoglyceride lipase faah-4,K19176
Small COPII coat GTPase sar1,K07953
GATA-binding factor A,K17897
UvrABC system protein C,nan
Protein mago nashi homolog,K12877
Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,K00280
Defective in cullin neddylation protein 1,K07565
p-hydroxybenzoic acid efflux pump subunit AaeA,nan
NHL repeat-containing protein 2,K14539
Ribosomal RNA small subunit methyltransferase C,nan
"Alpha-(1,3)-fucosyltransferase C",K14464
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",K03937
"Dynein heavy chain 1, axonemal",K11265
Uncharacterized protein YfeC,nan
Ataxin-2 homolog,K19348
Serine/threonine-protein kinase WNK3,K08867
Mechanosensitive ion channel protein Msy1,nan
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,K15332
Putative acetyltransferase SAR1027,nan
Dual-functional monooxygenase/methyltransferase psoF,K00485
C4-dicarboxylate transport protein 2,nan
Activating signal cointegrator 1 complex subunit 1,K18666
Protein c-ets-1-A,K02678
Cadherin EGF LAG seven-pass G-type receptor 1,K04601
Uncharacterized transporter C460.03,nan
Leukotoxin translocation ATP-binding protein LktB,K05658
Transposon Ty3-G Gag-Pol polyprotein,K09105
Silk gland factor 3,K09365
Uncharacterized ABC transporter ATP-binding protein HI_1051,K05658
Protein adenylyltransferase fic-1,K17277
SWI/SNF and RSC complexes subunit ssr2,K11649
Urea-proton symporter DUR3,nan
SAGA complex subunit spt3,nan
Dual-specificity RNA methyltransferase RlmN,nan
Phosphomethylpyrimidine synthase,K02335
Long-chain-fatty-acid--CoA ligase,K18660
Putative uncharacterized protein,K14831
Phospholipase A1,K14074
"Dystrophin, isoforms A/C/F/G/H",K10366
Protein-export protein SecB,nan
[Ribosomal protein S5]-alanine N-acetyltransferase,K00010
Homeotic protein ultrabithorax,K09307
Alpha-1-syntrophin,K24064
Bombyxin-related peptide B,K04526
Soluble guanylate cyclase 89Db,K01769
Transcription factor Ken 1,K09228
Putative uncharacterized protein,K23565
Putative uncharacterized protein,K14297
"NADH-ubiquinone oxidoreductase 19.3 kDa subunit, mitochondrial",K03940
Tip elongation protein 1,nan
L-arabinose transport system permease protein AraH,nan
UBA domain-containing protein 7,nan
Benzoate 4-monooxygenase,nan
HTH-type transcriptional activator AarP,nan
Probable phospholipid-transporting ATPase DNF3,K14802
Progestin and adipoQ receptor family member 4,K04684
FMN-dependent NADH-azoreductase 2,K00355
Glucosyl-dolichyl phosphate glucuronosyltransferase,K00721
E3 ubiquitin-protein ligase TOM1-like,K10592
Heparan-sulfate 6-O-sulfotransferase 3-B,K02514
Long-chain-fatty-acid--CoA ligase,K08749
Mediator of RNA polymerase II transcription subunit 23,K15166
Probable cytochrome oxidase subunit 1,nan
FMRFamide receptor,K05052
